Time Interval 1,Time Interval 2,Time Interval 3,Time Interval 4,Time Interval 5,Time Interval 6,Time Interval 7,Time Interval 8,Time Interval 9,Time Interval 10,Time Interval 11,Time Interval 12,Time Interval 13,Time Interval 14,Time Interval 15,Time Interval 16,Time Interval 17,Time Interval 18,Time Interval 19,Time Interval 20,Time Interval 21,Time Interval 22,Time Interval 23,Time Interval 24,Time Interval 25,Time Interval 26,Time Interval 27,Time Interval 28,Time Interval 29,Time Interval 30,Time Interval 31,Time Interval 32,Time Interval 33,Time Interval 34,Time Interval 35,Time Interval 36,Time Interval 37,Time Interval 38,Time Interval 39,Time Interval 40,Time Interval 41,Time Interval 42,Time Interval 43,Time Interval 44,Time Interval 45,Time Interval 46,Time Interval 47,Time Interval 48,Time Interval 49,Time Interval 50
0.6322397,3.8969082e-23,1.9039953e-07,4.3356076e-15,7.650993e-12,304135.88,26.629827,1.2822184e-05,1.2048099e-14,5.3028646e-15,3.0416927e-06,5.4681164e-12,1.31312245e-05,39897.637,6423.352,8.7853813e-13,0.10082574,0.0001434275,6.617406e-08,9.314332e-07,1.1936354e-06,8.1527824e-09,0.008930131,0.0004209057,3.0807438e-05,66917.484,0.8763887,1.7173797e-12,1409.6406,0.16620177,1.1567176e-07,5.156448e-10,18.201387,0.0013377994,0.0001654721,3.0947402e-14,1.8417577e-06,1.6118713e-08,1614.4309,1.8785578e-08,15067620000.0,0.00039876078,4.8555375e-08,0.09565651,0.0008246912,7305027.5,5.930185e-05,150.22993,8.7592674e-08,7.62047e-15
6.768641,0.3978906,0.06265642,1632.5674,16082.911,1.1522443000000002e-16,3.7060516e-15,1.949985e-08,0.08797801,5.9875634e-07,6.0295056e-06,4.23974e-11,3.1787201e-06,1.7700584,2.9611934e-11,2.6400597e-13,0.3867444,4.048929e-08,7.3389955e-08,0.15085968,2.3328228e-06,0.008009847,58.289726,3.5919802,9.0413804e-13,1.6235314e-06,4.2104894e-06,132.09572,2.4005398e-05,1.5769713e-06,20.954664,5.2475916e-13,1.3691053,2.4804325,2.9085905e-08,9.653154e-07,0.0014067489,4.1701984e-05,3.7228248,4.934095e-10,1.1410384e-08,3.526933e-09,0.034929182,0.0013185643,1.5592465e-07,3.1790293e-08,5.863653e-10,1056.5446,4.0083275e-08,24.24979
0.104438744,0.103911564,8.5454644e-08,4.2781883e-07,2.4986587e-08,3.4023433,5211.3623,8.018316e-14,2.1297357e-07,0.07383786,60.80261,0.011293078,9.174777e-10,0.0056462074,750.6254,5.614373e-12,0.0049609095,4.7805106e-06,0.00020657125,1.2528883e-13,1.2664435399999999e-17,2.3432363e-13,7.407184e-05,1.1406436e-06,2.5660147e-06,0.13318019,0.00013123332,1.6530004,1.6496338e-07,0.008842099,6.410471e-08,4.1079996e-17,0.053649608,1.888592e-06,5.9806325e-08,1.0756015e-07,0.0003422931,8.597486e-08,4.08847e-11,1.5594228e-06,1.23994405e-05,1.4917413e-08,0.012027319,1.8084316e-05,7.595417e-13,0.40913695,2.9720518e-11,8.78912e-09,1.6805441e-07,5.0948234e-12
0.48516276,0.007071676,0.0005592678,1.0771451e-15,3.3098233e-09,2.0914406e-13,2.2989004,0.00017649472,7.5748067e-06,2.5188408e-05,3.1695886e-09,1.6470188e-10,3.5039446e-07,205.49178,0.0061562015,2.514101e-07,0.0021269158,7.4630556,0.014266056,0.03045876,2.4651456e-10,0.0008270111,0.8839339,1.17865916e-07,8.988272e-12,1.412674e-10,0.00082843227,9.782112e-08,0.00472049,1.1331277e-06,143.78127,2.8338688e-08,9.364744e-11,1.3672918e-07,1.683035e-07,744.78125,1.5560536e-17,1.6958468e-09,0.00619735,0.7400456,1.1954827e-09,2.3957643e-09,2.2517093e-05,0.00091792416,1.0141102e-07,0.0005301497,4.449628e-08,8.492321e-07,3.268491e-07,4.7259873e-06
2.8203292,0.1243659,6.0845804e-07,4.0714545e-13,5.224132e-06,4.6574323e-06,0.0003820508,2.0101668e-05,2.4040128e-09,8.770322e-11,6.5903644e-15,1.4047242e-13,4.321414e-12,1.1865588e-10,3.7627757e-08,1.297642e-07,0.41262946,0.040784493,1.814373e-10,8.735107e-16,0.00036792835,1.7172957e-07,0.001403824,9.986287e-10,45077.688,3.9272582e-10,2.9204898e-06,1.5789084,1.2062126e-10,1.9779275e-06,3.4806446e-05,37.46683,6.986401e-12,16446.32,0.005799642,4.8892043e-13,2.2768068,0.00068644487,0.00068107236,0.011203457,2.7398062e-05,316.1947,8.880181e-07,0.027946465,8.6714015e-15,2.6283453e-11,1.3149178,6.604403e-09,68186.18,4.9702426e-10
0.12857825,2.275071e-07,0.00013748216,3.445156e-11,2.750717e-06,0.00027914034,3.8597793e-07,2.3950741e-09,2.5117486e-10,1.9659854e-10,0.021920638,9.0782754e-07,5.912766e-06,0.0022372026,1.2759601e-06,0.00036086323,4145.219,1.5848316e-05,2.5669028e-10,37.44586,2.9442646e-05,3.5438112e-09,2.3919047e-10,1.3980595e-07,0.35200185,95.18417,0.0004694756,3.3355062e-07,0.20140894,4.131141e-05,0.030302422,1.4311176e-11,0.010124536,0.00021456914,3.0572087e-11,1.2511528e-12,9.6596396e-14,4.7311196e-06,2.4889005e-10,0.29896894,7.6185165e-09,0.001326917,4.229466e-11,2.7505655,3.7865557e-12,0.010194476,0.0019233287,11684646000.0,2.9428804e-07,3.6655103e-07
4.1127987,7740.9297,6.841505e-08,4.043292e-06,8.270059e-05,3.9017284,2.5570772e-09,1.2984102e-08,0.00011537986,39.867985,3.7005374e-10,4398.0645,2.3595885e-13,3.748919e-09,2.1858623e-05,5.2015196e-07,6.3143493e-06,4.776596e-06,0.0040670726,0.0015965527,34394.438,8.4515665e-11,21.816309,8.0623633e-17,1.2545205e-07,0.00027439758,1.3957208e-06,6.633541e-09,0.20673592,0.13728558,9240090000.0,1.4225704e-06,0.32647562,2.6477992e-10,3.0025984e-07,5899216.5,7.626355e-12,2.4698694,9.858127e-14,3.5859625e-08,1.8962041e-12,0.00400323,268.81458,1.4933694e-12,5.7275373e-10,2.3711708e-12,1.6321e-05,3.5085639e-06,8.94015e-10,4.552667e-14
1.4513844,21097.285,2.1419078e-13,2.1586734e-06,0.0004474322,1.7711853e-05,2.673359e-07,0.0002879792,8.931431e-12,5777.614,5.8454466e-06,0.011149254,0.00012033657,1.2068919,0.034163274,0.0001389683,0.018603712,9.45328e-13,0.016409064,6982.5376,4.0591116e-05,8.575816e-05,0.112997524,0.008277062,0.00083685416,1.1173091e-16,1.690345e-08,1.9862257e-06,6.1244475e-07,6.313169e-08,6.996549e-12,49.247242,0.00015701224,6.527097e-13,0.012335792,7.70544e-09,9.950493e-05,6.3172075e-07,0.00066822517,0.0001689702,0.016293801,5.0067297e-07,194.44312,7.890068e-12,6.505196e-10,2.32573e-06,0.00016668676,1.1871175e-07,0.00030691765,0.0018482796
105.91862,7.971204e-05,1292.1853,0.42162225,5.7196667e-06,2.8620992e-08,0.018927313,8.507087e-15,6.5508484e-06,19356577000000.0,445.53574,0.034670934,9.846259e-05,3.4629525e-06,0.41902074,1.6314564e-08,0.0005219187,408.73666,0.0001119003,2.4019378e-08,3.8746497e-05,6.511163e-11,7.922817e-06,3.7319843e-08,0.00078844436,0.009048694,7.570119e-06,4.8680167e-09,0.04130669,3.0674892e-07,170.7093,8.183454e-10,2.2151127,3.512898e-07,1.783848e-05,269784.22,0.00026309126,0.028097091,1.543812e-13,1.2136071e-09,0.0007295682,3.596273e-05,1.2239407e-08,0.0052252165,0.0052249725,1.6904409e-07,1.3588255e-09,3.2318812e-09,1.9552108e-11,2.7427139e-14
0.37774807,6.1995883,0.00033521,4.438746e-07,0.0004794795,23.04969,5379.5127,0.010420672,0.1155301,1.500247e-12,5.5439258e-09,0.0004245938,2.3195469e-07,4.200307e-08,6.977123e-11,3.3348384e-05,1.9459858,3.6646405e-20,1.4425735e-05,1.6331043e-05,58.40664,0.0107385265,3.2179497e-07,7.1026203e-09,1.0353863e-08,3.8568523e-08,15049.623,5.2944645e-12,17.614944,5.570338e-17,3.0173453e-08,7.343889e-10,3.6649714,9.534285e-15,0.14114337,4.270126e-07,1.124219e-05,4.1923795,7.607443,2.5087235,0.17682184,5.6416803e-07,2847.7314,3.9257327e-07,6.2547692e-06,13.309868,2.5576979e-08,0.0008325004,3.0956e-06,6.510001
